name,director,company,genre,year,gross
Star Wars: The Force Awakens,J.J. Abrams,Lucasfilm,Action,2015,936662225
Avatar,James Cameron,Twentieth Century Fox Film Corporation,Action,2009,760507625
Titanic,James Cameron,Twentieth Century Fox Film Corporation,Drama,1997,658672302
Jurassic World,Colin Trevorrow,Universal Pictures,Action,2015,652270625
The Avengers,Joss Whedon,Marvel Studios,Action,2012,623357910
The Dark Knight,Christopher Nolan,Warner Bros.,Action,2008,534858444
Rogue One,Gareth Edwards,Lucasfilm,Action,2016,532177324
Finding Dory,Andrew Stanton,Pixar Animation Studios,Animation,2016,486295561
Star Wars: Episode I - The Phantom Menace,George Lucas,Lucasfilm,Action,1999,474544677
Avengers: Age of Ultron,Joss Whedon,Marvel Studios,Action,2015,459005868
The Dark Knight Rises,Christopher Nolan,Warner Bros.,Action,2012,448139099
Shrek 2,Andrew Adamson,DreamWorks,Animation,2004,436471036
The Hunger Games: Catching Fire,Francis Lawrence,Color Force,Action,2013,424668047
Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,Walt Disney Pictures,Action,2006,423315812
Toy Story 3,Lee Unkrich,Walt Disney Pictures,Animation,2010,415004880
Iron Man 3,Shane Black,Marvel Studios,Action,2013,409013994
Captain America: Civil War,Anthony Russo,Marvel Studios,Action,2016,408084349
The Hunger Games,Gary Ross,Lionsgate,Adventure,2012,408010692
Spider-Man,Sam Raimi,Columbia Pictures Corporation,Action,2002,403706375
Jurassic Park,Steven Spielberg,Universal Pictures,Adventure,1993,402453882
Transformers: Revenge of the Fallen,Michael Bay,DreamWorks,Action,2009,402111870
Frozen,Chris Buck,Walt Disney Animation Studios,Animation,2013,400738009
Harry Potter and the Deathly Hallows: Part 2,David Yates,Warner Bros.,Adventure,2011,381011219
Finding Nemo,Andrew Stanton,Pixar Animation Studios,Animation,2003,380843261
Star Wars: Episode III - Revenge of the Sith,George Lucas,Lucasfilm,Action,2005,380262555
The Lord of the Rings: The Return of the King,Peter Jackson,New Line Cinema,Adventure,2003,377845905
Spider-Man 2,Sam Raimi,Columbia Pictures Corporation,Action,2004,373585825
The Passion of the Christ,Mel Gibson,Icon Productions,Drama,2004,370782930
La vida secreta de tus mascotas,Chris Renaud,Universal Pictures,Animation,2016,368384330
Despicable Me 2,Pierre Coffin,Universal Pictures,Animation,2013,368061265
The Jungle Book,Jon Favreau,Fairview Entertainment,Adventure,2016,364001123
Deadpool,Tim Miller,Twentieth Century Fox Film Corporation,Action,2016,363070709
Inside Out,Pete Docter,Pixar Animation Studios,Animation,2015,356461711
